title,channel,views,published,url
Tokyo dialect VS Okinawa dialect! #shorts,Mochi Real Japanese,47552,2023-11-30T11:43:31Z,https://www.youtube.com/watch?v=zu8QU0vKFtM
My Okinawa Language /Uchinaguchi Lesson ① in English 🌟英語で学ぶ沖縄方言、うちなーぐち①,MyOkinawaStory ⭐️我的沖縄物語,929,2020-06-16T08:19:25Z,https://www.youtube.com/watch?v=7-L8Jq49LtU
My Okinawa language/Uchinaguchi lesson in Chinese ① 中国語で学ぶ沖縄方言/うちなーぐち①」 multi-language Challenge,MyOkinawaStory ⭐️我的沖縄物語,205,2020-06-24T08:45:00Z,https://www.youtube.com/watch?v=kigGuWNigjo
Uchinaguchi/Okinawan language Lesson 7 英語で学ぶ沖縄方言７ TOP3 Okinawan Words for LOVE.,MyOkinawaStory ⭐️我的沖縄物語,278,2021-07-16T23:30:02Z,https://www.youtube.com/watch?v=w0yTJyNOfCw
Uchinaguchi Lesson Vol.10  &quot;Ho (Po)&quot;,OkinaWanderer,81,2023-02-01T01:30:20Z,https://www.youtube.com/watch?v=zZxMq4jxSi4
Beginner English Lesson | Okinawan Dances,TESOLCREATIONS,39,2021-09-10T22:14:17Z,https://www.youtube.com/watch?v=VNAuYIz1X2Y
Uchinaguchi Lesson Vol.6 &quot;Ha&quot;,OkinaWanderer,69,2023-01-19T01:30:07Z,https://www.youtube.com/watch?v=KVQmwVtfblY
Uchinaguchi Lesson Vol.8  &quot;Fu&quot;,OkinaWanderer,55,2023-01-30T01:30:03Z,https://www.youtube.com/watch?v=EMO-fU6WENo
Secrets of Longevity: Lessons from Okinawan Centenarians,Vitality Again,5,2025-05-23T08:40:01Z,https://www.youtube.com/watch?v=_bH5GtdfwPA
明日使える！沖縄方言講座②,南の島のおばーと孫,192822,2019-09-21T06:00:19Z,https://www.youtube.com/watch?v=yrPPKLocWlw
"My Okinawa language/Uchinaguchi Lesson ② in VIETNAMESE. 「ベトナム語で学ぶ沖縄方言、うちなーぐち②」Okinawa Story, 沖縄ストーリー",MyOkinawaStory ⭐️我的沖縄物語,117,2020-08-05T02:00:02Z,https://www.youtube.com/watch?v=WHut8ZvfHgE
